model,episode,success,frames,max_reward,final_reward,r2,mae,rmse,mean_nis_per_dim,mean_nll,mean_kl,p95_kl,max_kl,mean_mahalanobis,mean_trace,mean_p_kl,mean_coupling_kl,terminal_dist,surprise_score,alert_rate
one_block_visual_world,57,True,28,0.937420666217804,0.937420666217804,0.12125697973990868,0.21617502818153092,0.44850889160925494,0.32462604141967133,-0.6152514634199687,8.583732808395125,10.860945883734585,13.976043735486913,2.349050908386076,0.06647150458216115,0.0,0.0,0.8240940570831299,11.623595320748443,0.0
one_block_visual_world,65,False,56,0.9152553677558899,0.9152553677558899,0.4865526577796676,0.3476209386095368,0.638277862138705,0.9589853156247461,1.9221856334003304,10.54613830027493,18.493910119516585,19.803701839789042,6.279387567480546,0.06644594810733741,0.0,0.0,0.7396378517150879,16.128601145778823,0.09090909090909091
one_block_visual_world,1,False,40,0.9001520872116089,0.9001520872116089,0.448071291983016,0.25969077157180387,0.49425765552251166,0.5392920283138435,0.24341248415671993,9.205783271934427,12.645366070352772,19.268854541999985,3.596491529348392,0.06645605836111383,0.0,0.0,0.8953970074653625,12.906416817836464,0.02564102564102564
one_block_visual_world,120,True,22,0.9404627084732056,0.9404627084732056,-0.15971356005278747,0.3655462087298601,0.6380479056009402,0.8126811787523587,1.3369690859107806,10.180399058951926,13.925151591931114,14.021588290432165,5.539282265179095,0.0664858475017051,0.0,0.0,0.5835909843444824,14.474368135687062,0.0
one_block_visual_world,185,True,22,0.9283210635185242,0.9283210635185242,0.3882024123561991,0.23152569439930723,0.42069570904830594,0.32976795188373875,-0.5946838215636993,8.596677078529014,10.827052724524997,11.10107082122351,2.3718383043332745,0.0664858475017051,0.0,0.0,0.6710599660873413,11.633208211544002,0.0
one_block_visual_world,42,False,46,0.8232226371765137,0.8232226371765137,0.27718622864045983,0.3251195079730588,0.5905321321608784,0.7423933785859128,1.0558178852449975,9.884556054553114,14.377742378771181,14.83146532534906,4.955039002750872,0.06645142449479964,0.0,0.0,0.7463613748550415,14.221385027831822,0.0
one_block_visual_world,105,False,25,0.7111018896102905,0.7111018896102905,0.5325100277304811,0.3249412001931207,0.5474631720545485,1.1948951670855381,2.865825039243498,10.841385612218929,16.951360607107397,21.372056729312902,6.86299976539343,0.06647777960946162,0.0,0.0,1.4044109582901,16.274120931081317,0.125
one_block_visual_world,132,False,52,0.8654138445854187,0.8654138445854187,0.4964886520758981,0.2503525910437742,0.44729142073880257,0.4053228929897257,-0.29246405713975127,8.76143071660333,11.497118059022593,12.777144986328544,2.7095544919187433,0.06644788094997114,0.0,0.0,1.2148654460906982,12.041033124348704,0.0
one_block_visual_world,178,False,50,0.884794294834137,0.884794294834137,0.5579820688601682,0.2912060492216756,0.5516936648126789,0.7899044505050808,1.245862172921669,9.918456331284482,16.296831569396733,20.014333196969957,5.0233711809542765,0.06644896570859211,0.0,0.0,0.9010023474693298,14.782568674138744,0.08163265306122448
one_block_visual_world,17,False,34,0.8263656497001648,0.8263656497001648,0.2802899390546044,0.23579229550754163,0.46101283155382755,0.42147335681373416,-0.2278622018437174,8.87746583813249,12.251640695965856,14.116303780382859,2.9384904233375413,0.06646237726972411,0.0,0.0,0.9950228929519653,12.361849368937689,0.0
one_block_visual_world,38,False,62,0.8913753628730774,0.8913753628730774,0.38396450877842114,0.35973802667377436,0.666461896258186,0.8809134701270717,1.6098982514096327,10.375338039977107,16.63048988916611,21.07841461325535,5.938311144896752,0.06644352413255905,0.0,0.0,0.7985430359840393,15.413873982395705,0.08196721311475409
one_block_visual_world,133,False,44,0.917812705039978,0.917812705039978,0.5224444124301098,0.26207339776430033,0.47117031546621957,0.4965429739357441,0.07241626664432217,9.075581469712915,12.748365581357417,13.699591271028462,3.3367869306019493,0.06645282543112718,0.0,0.0,1.2748088836669922,12.759215838988014,0.0
one_block_visual_world,53,False,58,0.8235581517219543,0.8235581517219543,0.6133504942035339,0.28397311946408715,0.4997249739158677,0.7479311715342214,1.0779690570382319,9.717745249665292,13.262992101407596,19.456831953026857,4.622788425201168,0.06644508341458022,0.0,0.0,1.1232885122299194,13.781424446551412,0.03508771929824561
one_block_visual_world,159,False,32,0.8268395662307739,0.8268395662307739,0.35930393440574204,0.45442095267390487,0.7847674156275,2.0485650190700504,6.280504447181549,13.335756491349619,25.88219376399264,32.15096213478142,11.854498791085009,0.06646502713462518,0.0,0.0,0.8098362684249878,21.85486995141783,0.2903225806451613
one_block_visual_world,128,False,32,0.7994387745857239,0.7994387745857239,0.4064090109006605,0.3135262709707512,0.5287785201597265,1.0204064684140286,2.16787024455746,10.333796175124165,16.302826768227114,18.94891693654557,5.850578158634095,0.06646502713462518,0.0,0.0,0.6939617395401001,15.429909335594973,0.0967741935483871
one_block_visual_world,34,False,48,0.9004308581352234,0.9004308581352234,0.41861892355758845,0.32585915883118427,0.5803113923869854,0.7579172470836681,1.1179133592360198,9.925608046768579,15.695706472285904,18.83045713913549,5.037420110716836,0.06645014278709571,0.0,0.0,0.45938849449157715,14.607451911923723,0.06382978723404255
one_block_visual_world,28,False,36,0.8915334343910217,0.8915334343910217,0.2721007312117044,0.31808375577730896,0.6226786749118324,0.8262813493370287,1.391369768249461,10.220709141294531,14.74131645498444,17.237055154798092,5.625484489641355,0.066460030246526,0.0,0.0,1.0529297590255737,14.73231960437767,0.05714285714285714
one_block_visual_world,114,False,55,0.8408502340316772,0.8408502340316772,0.4230238321946904,0.341443581591837,0.6234272641534193,0.9325260204550108,1.8163484527213893,10.383457762411243,17.36241798067674,21.534838858810236,5.953927818979328,0.06644640447295926,0.0,0.0,1.0414516925811768,15.65658827803544,0.1111111111111111
one_block_visual_world,163,False,26,0.9106840491294861,0.9106840491294861,0.4865219298237051,0.22640579545784362,0.4414834563952837,0.3432720113604518,-0.5406675836568469,8.644377918566393,12.0237121893279,12.220796196338004,2.46947280831885,0.06647552059963345,0.0,0.0,0.8429950475692749,11.99357797725882,0.0
one_block_visual_world,151,True,51,0.9237722158432007,0.9237722158432007,0.4388572141107564,0.30755755104630383,0.544950643276163,0.8031033170689617,1.2986576391771925,9.858611981003131,14.065853668121724,18.882662989490917,4.903802095958228,0.06644841248169542,0.0,0.0,1.072232723236084,14.178178715102524,0.04
